Business Partner ID;ERP ISP ID;SAP Top Parent ID;SAP Top Parent Name;Customer Since Date Text;Organization Name1;Planning Entity;Default Address Street;Default Address Street2;Default Address Street3;Default Address Street4;Default Address House Number;Default Address City;Default Address Region;Default Address Region Descr;Default Address Postal Code;Default Address PO Box;Account Telephone Number;Account Web Address;Geo Level 1 Region Descr;, E;GEO Level 3 Country Descr;Account Owner ID;Account Owner Name;Account Executive ID;Account Executive Name;Primary DUNS Number;Turnover US Dollar Value;Turnover Local Currency Value;Turnover in MILLION Local Currency Value;Num Employees Local Value;Num Employees Global Value;SAP View Linkage Description;Internal Market Segment IMS Desc;Buying Product Relationship BPR Descr Concat;Internal Sales Segment ISS Descr;Archetype Descr;Internal Account Class IAC Current Descr;Active Status Description;Regional Buying Class RBC Descr;Default Master Code Descr;Default SIC Primary Code;Default SIC Primary Descr;Default Sales Org ID;Default Sales Org Descr;Default Sales Office Short;Default Sales Group Descr;Default Sales Office;Default Sales Office Descr;Default Sales Distribution Channel Descr;Default Sales Division Descr;Default Sales District;Default Sales District Descr;Multiple Address Role Descr;Account Relevancy Scaled Score;Account Main Tax Number;CNPJ_normalizado;cnpj_normalizadoapi
162005;35650;30886;Solvay SA;19970123;Solvay do Brasil Ltda.;1164584;Rua Urussui;5º andar - cj 504;##;Itaim Bibi;300;São Paulo;SP;São Paulo;04542-051;##;11 3708 5152;www.solvay.com;Americas;Latin America Caribbean;Brazil;939573;Annick Vandueren;38466153;Henrique Giancoli;901278267;553015577;2790212442;#;0;0;Linked Account;Mid-Size Enterprise;;Corporate;8-Path to ERP;C-Digital;Customer Tech Install;Dormant;Chemicals;2899;Chemicals, NEC;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;#;7583;3,51E+16;3,5132E+12;3,5132E+12
162017;35628;1103779;Clariant International Ltd.;20160930;Clariant S.A.;162017;Av. das Nacoes Unidas;##;##;##;18001;São Paulo;SP;São Paulo;04795-900;##;11 4745 8136;www.clariant.com.br;Americas;Latin America Caribbean;Brazil;32830727;Sebira Softic;38466153;Henrique Giancoli;914788976;87001611;438962278;#;509;9305;Linked Account;Mid-Size Enterprise;SAP;Corporate;8-Path to ERP;C-Digital;Customer with SW Contract;Dormant;Chemicals;2899;Chemicals, NEC;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;9567;3,15E+18;3,14521E+13;3,14521E+13
162179;37473;9789873;AT&T;19950628;AT&T G.I.S. do Brasil Ltda.;1198048;Rua Alexandre Dumas,2.051 - 2 andar;##;##;##;##;São Paulo;SP;São Paulo;04717-000;##;11 2141 3844;www.corp.att.com;Americas;Latin America Caribbean;Brazil;11571450;Matthew Guidi;35641841;Marina Canazza;901316059;166578927;840465647;#;2000;2000;Linked Account;Large Enterprise;SAP;Enterprise;8-Path to ERP;E-High Touch;Customer with SW Contract;Dormant;Professional Services;8742;Management Consulting Services;O 50002302;SAP Brazil;SOFF-NONO;FL-BR ENT MULTI;O 50506207;SL-BR ENT;Direct sales (SAP);all SAP products;BR;Brazil;#;9117;0;0;0
162213;37776;904840;PricewaterhouseCoopers GmbH;0;PRICEWATERHOUSECOOPERS CONTADORES;1226187;Av. BRIG FARIA LIMA 3732ANDAR 17 - PARTES 1 E 2 EDIF ADALMIR;O DE;##;##;36;SAO PAULO;SP;São Paulo;04538-132;##;1234477;www.pwc.com;Americas;Latin America Caribbean;Brazil;27313717;Murat Moustafa;25145389;Flavia Placco;678280815;33729600;170181010;#;1600;1600;Linked Account;Mid-Size Enterprise;;Corporate;8-Path to ERP;C-Field;Non Cust - With Transactions;Active;Professional Services;8742;Management Consulting Services;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP FIELD MUL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;#;757;4,57E+17;4,56689E+12;4,56689E+12
162754;132469;162754;Petróleo Brasileiro S.A.- Petrobras;19991230;Petróleo Brasileiro S.A.- Petrobras;162754;Av República do Chile;##;##;Centro;65;Rio de Janeiro;RJ;Rio de Janeiro;20031-170;##;21 3224 2040;www.petrobras.com.br;Americas;Latin America Caribbean;Brazil;6655230;Gabriele Soares;6655230;Gabriele Soares;897005005;1,24E+14;6,28E+16;#;45195;45532;Top Parent;Large Enterprise;SAP,BOBJ,Sybase,SuccessFactors,Hybris,Concur;Enterprise;3-Move to Farm;E-High Touch;Customer with SW Contract;Active;Oil, Gas, and Energy;1311;Crude Petroleum and Natural Gas;O 50002302;SAP Brazil;SOFF-PCT;FL-BR PETROBRAS;O 50088871;SL-BR TRAFO STR ACC;Direct sales (SAP);all SAP products;BR;Brazil;Bill-To, Sell-To, Planning;9981;3,30E+18;3,30002E+13;3,30002E+13
163616;178248;162530;DXC Technology Services LLC;19930623;CSC Computer Sciences Brasil S.A.;163616;R Jose Versolato;Conj 202 Andar 20;##;Centro;100;Sao Bernardo do Campo;SP;São Paulo;09750-730;##;11 5509 48 55;www.dxc.com;Americas;Latin America Caribbean;Brazil;24518443;Michael Shapiro;37022272;Andre Bernardes;901326819;19383346;97797703;#;551;137573;Linked Account;Mid-Size Enterprise;SAP,Sybase;Corporate;8-Path to ERP;C-Digital;Customer with SW Contract;Dormant;Professional Services;8742;Management Consulting Services;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;9208;5,77E+18;5,77433E+13;5,77433E+13
163945;183668;30886;Solvay SA;19960429;Rhodia Poliamida e Especialidades;1164584;Av. dos Estados,;##;##;São Paulo;6144;Santo André;SP;São Paulo;09290-520;##;11 3741 8113;www.rhodia.com.br;Americas;Latin America Caribbean;Brazil;939573;Annick Vandueren;38466153;Henrique Giancoli;901270512;906959141;4576016997;#;40;40;Linked Account;Mid-Size Enterprise;SAP;Corporate;8-Path to ERP;C-Digital;Customer Tech Install;Dormant;Chemicals;2899;Chemicals, NEC;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Ship-To, Payer, Bill-To;7562;1,52E+18;1,51797E+13;1,51797E+13
163946;183667;159936;BASF SE;20090101;BASF S.A.;163946;AV NACOES UNIDAS;##;##;##;14171;São Paulo;SP;São Paulo;04794-000;##;(11) 3043-2273;www.basf.com;Americas;Latin America Caribbean;Brazil;17960;Roland Bauer;36031586;Daniela Justi;899244198;4735161021;23891018173;#;4216;111599;Linked Account;Mid-Size Enterprise;SAP,SuccessFactors;Corporate;8-Path to ERP;C-Field;Customer with SW Contract;Dormant;Chemicals;2819;Ind.Inorg.Chemicals;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP FIELD MUL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Ship-To, Payer, Bill-To, Sell-To, Planning;9780;4,85E+18;4,85394E+13;4,85394E+13
163949;183636;4885436;Icahn Enterprises LP;19961025;Viskase Brasil Embalagens Ltda;163949;R José Dias;##;##;Bonsucesso;435;Guarulhos;SP;São Paulo;07177-100;##;(11) 2462-2644;www.viskase.com;Americas;Latin America Caribbean;Brazil;38883537;Nidhi Kulkarni;38466153;Henrique Giancoli;828846038;93001693;469235391;#;0;0;Linked Account;Mid-Size Enterprise;;Corporate;8-Path to ERP;C-Digital;Customer Tech Install;Dormant;Mill Products and Mining;3061;Mech. Rubber Goods;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;7499;6,79E+18;6,78528E+13;6,78528E+13
164173;189690;904840;PricewaterhouseCoopers GmbH;19950717;PricewaterhouseCoopers Consultores;1226187;Av. Francisco Matarazzo;##;##;Torre Torino;1400;São Paulo;SP;São Paulo;05001-400;##;11 3674 2000;www.pwc.com;Americas;Latin America Caribbean;Brazil;27313717;Murat Moustafa;25145389;Flavia Placco;678280815;46337056;233791299;#;1600;1600;Linked Account;Mid-Size Enterprise;;Corporate;8-Path to ERP;C-Field;Customer with SW Contract;Active;Professional Services;8748;Business Consulting Services, NEC;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP FIELD MUL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;#;9729;6,28E+18;6,27995E+13;6,27995E+13
164188;191757;42172;Unilever Europe Business Center B.V.;20010814;Unilever Brasil Ltda;164188;Av Presidente Juscelino Kubitschek;1 ao 12 andar parte 13 14 andar;##;Vila Nova Conceição;1309;São Paulo;SP;São Paulo;04534-004;##;11 2505 4000;www.unilever.com.br;Americas;Latin America Caribbean;Brazil;17030116;Derck Stempvoort;37022272;Andre Bernardes;901727923;1988319434;10031966288;#;0;0;Linked Account;Mid-Size Enterprise;SAP,BOBJ;Corporate;7-Move to Corporate;C-Digital;Customer Tech Install;Dormant;Consumer Products;2841;Soaps and Other Detergents, Except Speciality Cleaners;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, End-Customer, Planning;7618;6,11E+18;6,10683E+13;6,10683E+13
164437;193262;164437;Informix do Brasil;0;Informix do Brasil;164437;R. Alexandre Dumas;##;##;##;2200;São Paulo;SP;São Paulo;04717-910;##;(11)5524-1033;www.informix.com.br;Americas;Latin America Caribbean;Brazil;35740919;Carlos Xirau;35740919;Carlos Xirau;900185539;7259259;39166243;#;0;0;Top Parent;Mid-Size Enterprise;;Corporate;10-Prospects;C-Digital;Non Cust - No Transactions;Net New;Professional Services;7379;Comp Related Svcs;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;7027;6,86E+18;6,86046E+13;6,86046E+13
164640;197229;164640;Softtek Tecnologia da Informação;19930623;Softtek Tecnologia da Informação;164640;Av. Maria Coelho Aguiar;##;##;##;215;São Paulo;SP;São Paulo;05805-000;##;11 3306 6000;www.softtek.com;Americas;Latin America Caribbean;Brazil;35740919;Carlos Xirau;35740919;Carlos Xirau;900876143;46337056;233791299;#;0;0;Top Parent;Mid-Size Enterprise;SAP,Hybris;Corporate;8-Path to ERP;C-Digital;Customer with SW Contract;Dormant;Professional Services;8742;Management Consulting Services;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;9833;2,07E+17;2,06863E+12;2,06863E+12
165463;226764;1105064;Gerdau Açominas S.A.;19971202;Gerdau Açominas S.A.;4154593;Rodovia MG 443;Fazenda do Cadete;##;Zona Rural;KM 07;Ouro Branco;MG;Minas Gerais;36420-000;##;31 3749 2002;www.gerdau.com.br;Americas;Latin America Caribbean;Brazil;25919294;Renato Coluci;25919294;Renato Coluci;899240683;3073026481;15504801458;#;11367;70043;Linked Account;Large Enterprise;SAP;Enterprise;8-Path to ERP;E-High Touch;Customer with SW Contract;Active;Mill Products and Mining;3325;Steel Foundries, NEC;O 50002302;SAP Brazil;SOFF-NONO;FL-BR ENT TOP;O 50506207;SL-BR ENT;Direct sales (SAP);all SAP products;BR;Brazil;#;9931;1,72E+18;1,72274E+13;1,72274E+13
166004;238313;159957;HP Inc.;20170512;Hewlett Packard Brasil Ltda.;17925413;Alameda Rio Negro, 750;##;##;##;##;Barueri;SP;São Paulo;06454-000;##;11 4197 8000;www.dxc.com/sap;Americas;Latin America Caribbean;Brazil;15454172;John Kennel;37022272;Andre Bernardes;899023188;698520217;3524348828;#;5879;58001;Linked Account;Mid-Size Enterprise;;Corporate;7-Move to Corporate;C-Digital;Customer Tech Install;Dormant;High Tech;3571;Computers;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;#;7746;6,18E+18;6,17979E+13;6,17979E+13
166564;269836;166564;EMBRAER S.A.;19971203;EMBRAER S.A.;166564;Rod. PRESIDENTE DUTRA S/N,;KM 134;##;##;##;SAO JOSE DOS CAMPOS;SP;São Paulo;12247-004;##;12 3927 1000;www.embraer.com.br;Americas;Latin America Caribbean;Brazil;10179590;Diego Anunciato;10179590;Diego Anunciato;898303696;4666965527;23546941218;#;14841;16718;Top Parent;Large Enterprise;SAP,BOBJ,Sybase,Ariba,SuccessFactors,Concur;Enterprise;1-Farm;E-High Touch;Customer with SW Contract;Active;Aerospace and Defense;3721;Aircraft;O 50002302;SAP Brazil;SOFF-NONO;FL-BR ENT TOP;O 50506207;SL-BR ENT;Direct sales (SAP);all SAP products;BR;Brazil;Ship-To, Sell-To, Planning;9970;7,69E+15;7,689E+12;7,689E+12
166822;273371;213061;Interpublic Group of Companies;19980206;Mccann Erickson Publicidade Ltda.;166822;Rua Loefgreen;##;##;Vl. Clementino;2527;São Paulo;SP;São Paulo;04040-033;##;11 3775 3000;www.mccann.com.br;Americas;Latin America Caribbean;Brazil;28775822;Anton Zhukov;36344597;Alexia Viana;899037097;84098799;424316285;#;1298;65609;Linked Account;Mid-Size Enterprise;;Corporate;7-Move to Corporate;C-Digital;Customer Tech Install;Dormant;Media;7311;Advertising Agencies;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;7693;6,14E+18;6,14164E+13;6,14164E+13
166826;273097;1091681;Software GmbH;19970515;IDS - Scheer Sistemas de;14347570;Rua Edward Joseph;Cj. 111;##;##;122;São Paulo;SP;São Paulo;05709-020;##;(11)3846-9986;http://www.ids-scheer.com/;Americas;Latin America Caribbean;Brazil;24141899;Frank Schaefer;37022272;Andre Bernardes;901907857;1323968;6680014;#;8;4908;Linked Account;Mid-Size Enterprise;;Corporate;8-Path to ERP;C-Digital;Customer Tech Install;Dormant;Professional Services;8748;Business Consulting Services, NEC;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;#;7693;1,93E+17;1,93132E+12;1,93132E+12
166905;273416;42172;Unilever Europe Business Center B.V.;19980529;Unilever Brasil Industrial Ltda;164188;Av. Presidente Juscelino Kubitschek;13 andar / sala 4;##;Vila Nova Conceição;1309;São Paulo;SP;São Paulo;04543-011;##;11 3568 8000;www.unilever.com.br;Americas;Latin America Caribbean;Brazil;17030116;Derck Stempvoort;37022272;Andre Bernardes;909265753;46337056;233791299;#;0;0;Linked Account;Mid-Size Enterprise;SAP;Corporate;8-Path to ERP;C-Digital;Customer Tech Install;Dormant;Consumer Products;2032;Canned Specialties;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Ship-To, Payer, Bill-To;7489;1,62E+17;1,61581E+12;1,61581E+12
166906;273391;163162;The Coca-Cola Company;19970611;Refrigerantes Minas Gerais Ltda.;3084751;Rod Anel Rodoviario;##;##;##;2233;Belo Horizonte;MG;Minas Gerais;31950-640;##;31 3469 7555;www.cocacolabrasil.com.br;Americas;Latin America Caribbean;Brazil;10541886;Brandon Rhymer;18894784;Rafael Romao;899581474;96929125;489051053;#;8;8;Linked Account;Large Enterprise;;Enterprise;7-Move to Corporate;E-High Touch;Customer Tech Install;Active;Consumer Products;2087;Flavoring Extracts and Flavoring Syrups NEC;O 50002302;SAP Brazil;SOFF-NONO;FL-BR ENT AGRO;O 50506207;SL-BR ENT;Direct sales (SAP);all SAP products;BR;Brazil;#;7693;1,72E+18;1,71682E+13;1,71682E+13
167391;281494;1144873;SONDA S.A.;19970618;PWI-Procwork Informática Ltda;3422400;Av. Nove de Julho;##;##;##;562;Poá;SP;São Paulo;08550-100;##;(11)5504-0000;www.sondaprocwork.com.br;Americas;Latin America Caribbean;Brazil;34669986;Ivonne Contreras;37022272;Andre Bernardes;899905319;103800;523717;#;250;250;Linked Account;Mid-Size Enterprise;SAP;Corporate;7-Move to Corporate;C-Digital;Customer Tech Install;Dormant;Professional Services;8748;Business Consulting Services, NEC;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;#;7528;5,99E+18;5,99333E+13;5,99333E+13
167577;284575;1998117;ArcelorMittal SA;19970818;ArcelorMittal Sistemas S.A.;1247586;Av. Brasil;##;##;Bairro Funcionários;1654;Belo Horizonte;MG;Minas Gerais;30140-003;##;31 3217 4103;www.dns.com.br;Americas;Latin America Caribbean;Brazil;38449779;Eric Desomer;36249574;Tiago Vicentini;904814183;451118594;2276096310;#;14600;115484;Linked Account;Large Enterprise;;Enterprise;7-Move to Corporate;E-High Touch;Customer Tech Install;Active;Professional Services;8742;Management Consulting Services;O 50002302;SAP Brazil;SOFF-NONO;FL-BR ENT MULTI;O 50506207;SL-BR ENT;Direct sales (SAP);all SAP products;BR;Brazil;Ship-To, Payer, Bill-To;7632;2,55E+18;2,55494E+13;2,55494E+13
167897;288817;167897;COMPANHIA SIDERÚRGICA NACIONAL;19971107;COMPANHIA SIDERÚRGICA NACIONAL;167897;Av Brigadeiro Faria Lima;19º e 20º andares e 15º parte;##;##;3400;São Paulo;SP;São Paulo;04538-132;##;11 3049 7000;www.csn.com.br;Americas;Latin America Caribbean;Brazil;31165032;Eduardo Milano;31165032;Eduardo Milano;897662268;8683776751;43813561408;#;25294;26131;Top Parent;Large Enterprise;SAP,BOBJ,Sybase,Ariba,SuccessFactors;Enterprise;7-Move to Corporate;E-High Touch;Customer with SW Contract;Active;Mill Products and Mining;3325;Steel Foundries, NEC;O 50002302;SAP Brazil;SOFF-NONO;FL-BR ENT MULTI;O 50506207;SL-BR ENT;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;9945;3,30E+18;3,30427E+13;3,30427E+13
167899;290205;31438170;Corteva Agriscience LLC;19971112;Corteva Agriscience Do Brasil Ltda.;3284577;Av. Tambore;Edif Canopus - Torre Sul Bloco A Andar;##;6 - 7 - 8 Conj 61-A 71-A 81-A;267;Barueri;SP;São Paulo;06460-000;##;11 4166 8000;www.dupont.com.br;Americas;Latin America Caribbean;Brazil;35844283;AJ Roskin;36344597;Alexia Viana;898698386;1877823700;9474465587;#;3865;25415;Linked Account;Mid-Size Enterprise;;Corporate;8-Path to ERP;C-Digital;Customer Tech Install;Dormant;Chemicals;2824;Manmade Org. Fibers;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;#;7759;6,11E+18;6,10649E+13;6,10649E+13
